Bogdanov Artem Igorevich 6 Idun 2003
Maximov Fedor Albertovich 5 Odin 2001
Lvov Igor Semenovich 1 Tyr 2002
Markov Valentin Bogdanovich 7 Bragi 2000
Denisov Petr Nikolaevich 3 Fraya 2001
Semenov Anton Demidovich 8 Baldur 2003
Andreev Artur Vsevolodovich 9 Loki 2002
Valentiovn Viktor Petrovich 2 Mimir 2000
Germanov Oleg Olegovich 4 Njord 2000
Borisov Ivan Fedotovich 3 Thor 2003
Nikolaev Albert Valentinovich 4 Idun 2002
Ruslanov Demid Viktorovich 1 Thor 2001
Demidov Kondrat Ivanovich 6 Loki 2000
Nikitin Fedot Mihailovich 7 Tyr 2002
Eduardov Bogdan Vasilievich 8 Baldur 2001
Fedotov Tihon Nikitovich 5 Bragi 2003
Pavlov Maxim Stepanovich 9 Mimir 2001
Petrov Stepan Arturovich 2 Njord 2002
Trofimov Boris Varlamovich 7 Fraya 2003
Kirillov Pavel Trofimovich 3 Odin 2000
Alexandrov Vasiliy Kirillovich 6 Mimir 2001
Vsevolodov Lev Maximovich 2 Idun 2003
Igorev Leonid Efimovich 9 Baldur 2000
Arturov Mihail Lvovich 8 Odin 2002
Stepanov Varlam Ruslanovich 5 Loki 2001
Antonov Kirill Kondratovich 1 Thor 2000
Anatoliev Eduard Fedorovich 4 Tyr 2003
Mihailov Andrei Denisovich 3 Fraya 2002
Fedorov Anatoliy Glebovich 5 Njord 2003
Varlamov Efim Tihonovich 9 Bragi 2002
Tihonov Gleb Pavlovich 1 Fraya 2000
Albertov Nikolai Anatolivich 7 Mimir 2001
Viktorov Vsevolod Eduardovich 4 Baldur 2001
Efimov Semen Antonovich 6 Odin 2000
Artemov Denis Markovich 8 Tyr 2002
Leonidov Alexander Leonidovich 2 Loki 2003
Kondratev German Artemovich 2 Njord 2000
Vasiliev Ruslan Germanovich 7 Idun 2002
Glebov Trofim Alexandrovich 4 Bragi 2001
Ivanov Mark Borisovich 8 Thor 2003
Ivanov Nikita Andreevich 3 Thor 2001
Antonov Albert Alexandrovich 6 Odin 2003
Leonidov Bogdan Kirillovich 5 Tyr 2000
Markov Trofim Eduardovich 9 Baldur 2002
